submission_id,abc_prefer,self_experience,gender,ethnicity_race,marital_status,children,favorite_drink,most_for_cup,monthly_spending,equipment_spent,age_num
gMR29l,NA,NA,NA,NA,NA,NA,Regular drip coffee,NA,NA,NA,21
BkPN0e,NA,NA,NA,NA,NA,NA,Iced coffee,NA,NA,NA,30
W5G8jj,NA,NA,NA,NA,NA,NA,Regular drip coffee,NA,NA,NA,30
4xWgGr,NA,NA,NA,NA,NA,NA,Iced coffee,NA,NA,NA,40
QD27Q8,NA,NA,NA,NA,NA,NA,Latte,NA,NA,NA,30
V0LPeM,NA,NA,NA,NA,NA,NA,Iced coffee,NA,NA,NA,60
V0Gaxg,NA,NA,NA,NA,NA,NA,Pourover,NA,NA,NA,21
AdzRL0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXQLWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xpa2K9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V00RoJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7WWB4A,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,18
pKL8aB,NA,7,NA,NA,NA,NA,Pourover,NA,NA,NA,30
Zd694B,Coffee A,10,Other (please specify),Other (please specify),Living with a partner,More than 3,Pourover,NA,>$100,NA,18
QAeYZY,Coffee C,7,NA,NA,NA,NA,Cortado,NA,NA,NA,65
QA5JYA,Coffee A,6,Female,White/Caucasian,Married,None,Regular drip coffee,NA,$40-$60,NA,30
Rz5BPj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
jyDqva,NA,4,NA,NA,NA,NA,Iced coffee,NA,NA,NA,21
eB7QoJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
24xzlg,NA,6,NA,NA,NA,NA,Pourover,NA,NA,NA,21
DVvoqX,NA,9,NA,NA,NA,NA,Cappuccino,NA,NA,NA,40
1r2YJQ,NA,8,NA,NA,NA,NA,Regular drip coffee,NA,NA,NA,30
24xYOV,NA,5,NA,NA,NA,NA,Regular drip coffee,NA,NA,NA,50
AlbYao,NA,7,NA,NA,NA,NA,Latte,NA,NA,NA,21
J2krYz,NA,7,NA,NA,NA,NA,Pourover,NA,NA,NA,40
WAp6ak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aBr18q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
42NYWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
6dQ08e,NA,7,NA,NA,NA,NA,Latte,NA,NA,NA,30
J2kj9J,NA,NA,NA,NA,NA,NA,Iced coffee,NA,NA,NA,21
8dpDNA,NA,NA,NA,NA,NA,NA,Pourover,NA,NA,NA,21
EPbVlL,NA,7,NA,NA,NA,NA,Regular drip coffee,NA,NA,NA,18
vNx6A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
KMB2og,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qbEQPO,NA,8,NA,NA,NA,NA,Pourover,NA,NA,NA,21
9dJ0O5,NA,5,NA,NA,NA,NA,Cortado,NA,NA,NA,30
BGboZR,NA,NA,NA,NA,NA,NA,Espresso,NA,NA,NA,21
oAVNdO,Coffee C,2,NA,NA,NA,NA,Regular drip coffee,NA,NA,NA,65
YZzBdN,Coffee A,10,Male,Asian/Pacific Islander,Single,None,Pourover,$2-$4,$40-$60,$50-$100,30
VZ17Z6,Coffee A,6,Male,White/Caucasian,Married,3,Iced coffee,$10-$15,$20-$40,$100-$300,40
RzBeZj,Coffee A,7,Male,White/Caucasian,Married,3,Pourover,$10-$15,$40-$60,$300-$500,50
0Ej0GZ,NA,8,NA,NA,NA,NA,Cappuccino,NA,NA,NA,40
eBxO4l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WApbkQ,Coffee A,4,Male,Black/African American,Living with a partner,2,Cappuccino,$6-$8,$60-$80,"More than $1,000",40
0Ej0WA,Coffee B,8,Male,White/Caucasian,Married,More than 3,Pourover,$6-$8,>$100,$100-$300,50
