submission_id,age,cups,where,home_brew,on_the_go,favorite_drink,add,prefer_kind,prefer_strength,prefer_roast,prefer_caffeine,self_experience,a_bitterness,a_acidity,a_preference,b_bitterness,b_acidity,b_preference,c_bitterness,c_acidity,c_preference,d_bitterness,d_acidity,outcome,abc_prefer,work_from,monthly_spending,why_coffee,like_taste,know_where_from,most_for_cup,most_willing_for_cup,cafe_good_value,equipment_spent,equipment_good_value,gender,marital_status,hh_income,education,ethnicity_race,employment,children,party,state,state_name,total_votes,biden_votes,biden_votes_share,biden_ev,trump_votes,trump_votes_share,trump_ev,other_votes,other_votes_share,other_ev
1004,55-64 years old,2,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",NA,Regular drip coffee,No - just black,Caramalized,Medium,Medium,Full caffeine,6,4,4,2,2,3,4,3,2,5,4,5,1,Coffee C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
623,25-34 years old,3,"At home, At the office, At a cafe, On the go","Pour over, Espresso","Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Fruity,Somewhat strong,Light,Full caffeine,9,1,5,4,3,2,2,5,1,1,2,4,-2,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$15-$20,Yes,"More than $1,000",Yes,Male,Single,"$150,000 or more",Bachelor's degree,Hispanic/Latino,Employed full-time,None,Democrat,VA,Virginia,"4,460,524","2,413,568",54.11%,13,"1,962,430",44.00%,,"84,526",1.89%,
2953,35-44 years old,2,"At the office, At home","Pour over, French press, Espresso, Cold brew",NA,Pourover,No - just black,Full Bodied,Somewhat strong,Light,Full caffeine,5,1,5,3,2,1,2,3,1,3,1,2,-1,Coffee B,I do a mix of both,<$20,"It tastes good, I need the caffeine, I need the ritual",No,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Male,Married,"$75,000 - $99,999",Doctorate or professional degree,White/Caucasian,Employed full-time,2,Democrat,IA,Iowa,"1,690,871","759,061",44.89%,,"897,672",53.09%,6,"34,138",2.02%,
2693,55-64 years old,3,"At home, At a cafe","Pour over, Other",NA,Pourover,No - just black,Sweet,Somewhat strong,Medium,Full caffeine,6,3,2,3,2,3,3,3,2,2,4,2,-1,Coffee A,I do a mix of both,$40-$60,"I need the caffeine, It tastes good",Yes,Yes,$8-$10,$4-$6,No,$500-$1000,Yes,Male,Single,"$75,000 - $99,999",Bachelor's degree,White/Caucasian,Unemployed,None,Democrat,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
934,18-24 years old,1,"At a cafe, At home",French press,NA,Cappuccino,"No - just black, Milk, dairy alternative, or coffee creamer",Nutty,Medium,Medium,Full caffeine,3,2,5,2,4,3,5,4,2,5,2,4,0,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$15-$20,$15-$20,Yes,$100-$300,Yes,Male,Single,"Under $25,000",High school graduate,White/Caucasian,Student,None,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,18-24 years old,1,At home,Cold brew,NA,Cold brew,Sugar or sweetener,Sweet,Medium,Medium,Full caffeine,5,3,4,2,3,3,4,3,2,3,3,3,-1,Coffee B,I primarily work in person,<$20,It tastes good,Yes,No,$8-$10,More than $20,No,$100-$300,Yes,Male,Single,"$25,000 - $49,999",Some college or associate's degree,White/Caucasian,Employed part-time,None,Republican,FL,Florida,"11,067,456","5,297,045",47.86%,,"5,668,731",51.22%,29,"101,680",0.92%,
2948,25-34 years old,1,"At home, At the office, On the go, At a cafe","Pour over, Coffee extract (e.g. Cometeer)",Specialty coffee shop,Pourover,No - just black,Fruity,Somewhat strong,Light,Full caffeine,7,1,4,1,2,3,3,1,2,3,1,3,-2,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$15-$20,Yes,$50-$100,Yes,Female,Single,"$150,000 or more",Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Democrat,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
2146,25-34 years old,3,"At home, At a cafe, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)","Local cafe, Specialty coffee shop",Pourover,No - just black,Fruity,Medium,Nordic,Full caffeine,5,2,4,5,3,3,3,5,2,1,2,5,-1,Coffee A,I do a mix of both,$60-$80,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$15-$20,No,$300-$500,Yes,Male,Married,"$50,000 - $74,999",Master's degree,Hispanic/Latino,Employed full-time,1,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774,45-54 years old,3,At home,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), Other",NA,Pourover,No - just black,Bright,Medium,Light,Full caffeine,6,1,1,5,3,3,4,3,3,4,1,5,-2,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,No,$4-$6,$4-$6,Yes,$100-$300,Yes,Male,Married,"$150,000 or more",Some college or associate's degree,White/Caucasian,Employed full-time,2,Republican,IL,Illinois,"6,033,744","3,471,915",57.54%,20,"2,446,891",40.55%,,"114,938",1.90%,
1626,35-44 years old,2,At the office,NA,NA,Pourover,No - just black,Chocolatey,Somewhat strong,Medium,Full caffeine,8,2,3,4,3,2,5,4,2,2,1,4,-1,Coffee B,I primarily work in person,<$20,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,Married,"$50,000 - $74,999",Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat,MT,Montana,"603,640","244,786",40.55%,,"343,602",56.92%,3,"15,252",2.53%,
2374,25-34 years old,2,At home,Espresso,NA,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Nutty,Somewhat strong,Medium,Full caffeine,5,1,5,2,4,1,4,5,2,4,2,4,0,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,$15-$20,Yes,"More than $1,000",Yes,Male,Married,"$100,000 - $149,999",Master's degree,White/Caucasian,Employed full-time,None,Democrat,AL,Alabama,"2,323,282","849,624",36.57%,,"1,441,170",62.03%,9,"32,488",1.40%,
1103,35-44 years old,2,"At home, At the office",Pod/capsule machine (e.g. Keurig/Nespresso),NA,Latte,"Milk, dairy alternative, or coffee creamer",Sweet,Very strong,Light,Full caffeine,2,4,5,2,2,3,4,3,3,3,5,5,2,Coffee B,I primarily work in person,<$20,"I need the caffeine, It tastes good, It makes me go to the bathroom",No,No,$6-$8,$8-$10,Yes,Less than $20,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH,Ohio,"5,922,202","2,679,165",45.24%,,"3,154,834",53.27%,18,"88,203",1.49%,
2932,18-24 years old,1,"At the office, At home","Pour over, French press",NA,Americano,No - just black,Juicy,Somewhat strong,Light,Full caffeine,5,2,3,4,3,1,2,2,2,3,1,4,-2,Coffee A,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$6-$8,$10-$15,No,$100-$300,Yes,Male,Single,"$50,000 - $74,999",Bachelor's degree,White/Caucasian,Employed full-time,None,Independent,NM,New Mexico,"923,965","501,614",54.29%,5,"401,894",43.50%,,"20,457",2.21%,
270,25-34 years old,2,"On the go, At home",Pour over,Local cafe,Latte,"No - just black, Milk, dairy alternative, or coffee creamer",Fruity,Medium,Medium,Full caffeine,2,1,2,4,2,3,2,3,3,2,5,5,1,Coffee A,I primarily work from home,>$100,"It tastes good, I need the ritual",Yes,Yes,$8-$10,More than $20,Yes,"More than $1,000",Yes,Male,Married,"$150,000 or more",Bachelor's degree,Hispanic/Latino,Employed full-time,None,No affiliation,CA,California,"17,500,881","11,110,250",63.48%,55,"6,006,429",34.32%,,"384,202",2.20%,
2232,25-34 years old,3,"At the office, At a cafe, At home",Other,NA,Regular drip coffee,No - just black,Juicy,Somewhat strong,Medium,Full caffeine,8,2,4,4,4,1,4,1,3,2,1,5,-2,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$6-$8,$10-$15,Yes,$50-$100,Yes,Male,Single,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,VA,Virginia,"4,460,524","2,413,568",54.11%,13,"1,962,430",44.00%,,"84,526",1.89%,
2622,25-34 years old,2,"At the office, At home, At a cafe","Espresso, Pour over",NA,Cappuccino,"Milk, dairy alternative, or coffee creamer, No - just black, Flavor syrup",Chocolatey,Somewhat strong,Medium,Full caffeine,6,1,3,4,1,2,3,2,2,5,1,5,1,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$6-$8,$4-$6,Yes,$300-$500,Yes,Male,Single,"$50,000 - $74,999",Some college or associate's degree,Hispanic/Latino,Employed full-time,None,Republican,AZ,Arizona,"3,387,326","1,672,143",49.36%,11,"1,661,686",49.06%,,"53,497",1.58%,
2052,45-54 years old,2,At home,"Espresso, Pour over",NA,Latte,"No - just black, Milk, dairy alternative, or coffee creamer",Chocolatey,Somewhat strong,Dark,Full caffeine,7,2,2,2,3,2,4,2,3,3,2,2,2,Coffee B,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Married,"$150,000 or more",Bachelor's degree,Black/African American,Employed full-time,More than 3,Republican,FL,Florida,"11,067,456","5,297,045",47.86%,,"5,668,731",51.22%,29,"101,680",0.92%,
1685,25-34 years old,1,"At the office, At home, At a cafe","Espresso, Cold brew, Coffee extract (e.g. Cometeer)",NA,Mocha,"Milk, dairy alternative, or coffee creamer",Chocolatey,Medium,Medium,Full caffeine,7,2,5,1,3,4,4,3,2,3,1,4,1,Coffee B,I do a mix of both,$20-$40,"I need the ritual, It tastes good",Yes,No,$6-$8,$10-$15,No,$500-$1000,Yes,Male,Single,"$100,000 - $149,999",Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,No affiliation,PA,Pennsylvania,"6,915,283","3,458,229",50.01%,20,"3,377,674",48.84%,,"79,380",1.15%,
2600,18-24 years old,2,"At home, At the office","Bean-to-cup machine, Other",NA,Americano,No - just black,Full Bodied,Somewhat strong,Dark,Full caffeine,7,1,5,4,3,2,3,4,1,4,1,3,-1,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,More than $20,No,$100-$300,Yes,Male,Living with a partner,"$150,000 or more",Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,MI,Michigan,"5,539,301","2,804,040",50.62%,16,"2,649,852",47.84%,,"85,409",1.54%,
1236,35-44 years old,4,At home,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",NA,Cappuccino,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Fruity,Somewhat strong,Light,Full caffeine,8,2,4,3,1,3,3,2,2,4,2,3,-1,Coffee A,I primarily work from home,>$100,It tastes good,Yes,Yes,More than $20,More than $20,Yes,$500-$1000,Yes,Male,Married,"$150,000 or more",Some college or associate's degree,White/Caucasian,Employed full-time,None,No affiliation,CO,Colorado,"3,256,952","1,804,352",55.40%,9,"1,364,607",41.90%,,"87,993",2.70%,
3000,25-34 years old,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),NA,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Caramalized,Medium,Medium,Full caffeine,2,2,5,2,4,3,4,4,3,3,1,4,0,Coffee B,I do a mix of both,$20-$40,"It tastes good, It makes me go to the bathroom",Yes,No,$6-$8,$10-$15,Yes,$100-$300,Yes,Female,Married,"$50,000 - $74,999",Master's degree,White/Caucasian,Employed full-time,1,Independent,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
1219,35-44 years old,2,"At home, At a cafe","Pour over, Espresso",NA,Cappuccino,"Milk, dairy alternative, or coffee creamer",Chocolatey,Medium,Medium,Decaf,6,2,4,1,4,3,1,4,3,5,3,5,1,Coffee C,I primarily work from home,$60-$80,"It tastes good, I need the ritual",Yes,No,$8-$10,$8-$10,Yes,$300-$500,Yes,Male,Married,"$100,000 - $149,999",Bachelor's degree,Other (please specify),Employed full-time,None,Democrat,NY,New York,"8,594,826","5,230,985",60.86%,29,"3,244,798",37.75%,,"119,043",1.39%,
